Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Start Date,Start Year,Completion Date (B1),Completion Date,Duration,Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
007-000004122,924,7,Department of Defense,Electronic Health Record Way Ahead,2691,P4122-103,Infrastructure for EHRWA (Follow on Support),2012-01-26T00:00:00Z,2012,2012-04-17T00:00:00Z,2012,81,2012-04-17T00:00:00Z,2012-04-17T00:00:00Z,2.945,0,0,0,0,2.945,2.945,2012-05-22T00:00:00Z,1970-01-01T12:30:35Z,P4122-103
007-000004122,924,7,Department of Defense,Electronic Health Record Way Ahead,3137,P4122-104,iEHR Prime Mission Product,2012-04-18T00:00:00Z,2012,2013-09-29T00:00:00Z,2013,529,,,98.81,0,0,0,0,98.81,98.81,2012-05-22T00:00:00Z,1970-01-01T12:30:35Z,P4122-104
007-000004122,924,7,Department of Defense,Electronic Health Record Way Ahead,3139,P4122-105,iEHR System Engineering,2012-04-18T00:00:00Z,2012,2013-07-14T00:00:00Z,2013,452,2013-07-14T00:00:00Z,2013-07-14T00:00:00Z,16.972,0,0,0,0,16.792,16.792,2012-05-22T00:00:00Z,1970-01-01T12:30:35Z,P4122-105
007-000004122,924,7,Department of Defense,Electronic Health Record Way Ahead,3141,P4122-106,iEHR Program Management,2012-04-18T00:00:00Z,2012,2013-09-30T00:00:00Z,2013,530,2013-09-30T00:00:00Z,2013-09-30T00:00:00Z,33.249,0,0,0,0,33.249,33.249,2012-05-22T00:00:00Z,1970-01-01T12:30:35Z,P4122-106
007-000004122,924,7,Department of Defense,Electronic Health Record Way Ahead,3143,P4122-107,iEHR System Test and Evaluation,2012-04-18T00:00:00Z,2012,2012-09-30T00:00:00Z,2012,165,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,7.982,0,0,0,0,7.982,7.982,2012-05-22T00:00:00Z,1970-01-01T12:30:35Z,P4122-107
007-000004122,924,7,Department of Defense,Electronic Health Record Way Ahead,3145,P4122-108,iEHR Operational/Site Activation,2012-07-20T00:00:00Z,2012,2013-07-19T00:00:00Z,2013,364,,,5.542,0,0,0,0,5.542,5.542,2012-05-22T00:00:00Z,1970-01-01T12:30:35Z,P4122-108
007-000004122,924,7,Department of Defense,Electronic Health Record Way Ahead,3147,P4122-109,Operations and Sustainment,2012-04-18T00:00:00Z,2012,2012-09-30T00:00:00Z,2012,165,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2.862,0,0,0,0,2.862,2.862,2012-05-22T00:00:00Z,1970-01-01T12:30:35Z,P4122-109
007-000000688,1114,7,Department of Defense,DISTRIBUTED LEARNING SYSTEM,2599,P0688-101,The Distributed Learning System (DLS) Deployed Digital Training Campus (DDTC),2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,7.876,0,0,0,0,7.876,7.876,2012-01-19T00:00:00Z,1970-01-01T07:47:34Z,P0688-101
007-000001640,1115,7,Department of Defense,RESERVE COMPONENT AUTOMATION SYSTEM,2657,P1640-104,Reserve Component Automation System (RCAS) Infrastructure Refresh.,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,41.248,0,0,0,0,41.248,41.248,2012-09-01T00:00:00Z,1970-01-01T09:49:07Z,P1640-104
007-000001640,1115,7,Department of Defense,RESERVE COMPONENT AUTOMATION SYSTEM,2658,P1640-105,Reserve Component Automation System (RCAS) Lifecycle Software Sustainment.,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,41.487,0,0,0,0,41.487,41.487,2012-07-03T00:00:00Z,1970-01-01T07:25:00Z,P1640-105
007-000001667,1116,7,Department of Defense,Integrated Data Environment/Global Transportation Network Convergence,2659,P1667-101,Transportation Tracking Number (TTN),2009-01-06T00:00:00Z,2009,2012-09-30T00:00:00Z,2012,1362,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,19.483,0,0,0,0,1.35,1.35,2011-10-26T00:00:00Z,1970-01-01T09:10:25Z,P1667-101
007-000005090,1118,7,Department of Defense,DLA Enterprise Business System,2693,P5090-101,DLA Enterprise Business System,2000-09-30T00:00:00Z,2000,2017-07-07T00:00:00Z,2017,6124,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1785.543,0,0,0,0,11.541,11.541,2012-01-30T00:00:00Z,1970-01-01T13:41:19Z,P5090-101
007-000006040,1119,7,Department of Defense,ARMY ACCESSIONS - INTEGRATED AUTOMATION ARCHITECTURE,2694,P6040-101,FY 12 tech refresh,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,7.641,0,0,0,0,7.641,7.641,2012-01-30T00:00:00Z,1970-01-01T13:41:19Z,P6040-101
007-000006430,1120,7,Department of Defense,KNOWLEDGE MANAGEMENT,2708,P6430-101,AKO Technology Replacement,2011-03-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,569,,,416.098,0,0,0,0,12.689,12.689,2011-10-26T00:00:00Z,1970-01-01T09:10:51Z,P6430-101
007-000001699,1123,7,Department of Defense,SHIPBOARD MANAGEMENT INFORMATION SYSTEM,2660,P1699-101,SMIS FY12 Technology Refresh and Deployment,2011-03-10T00:00:00Z,2011,2012-09-28T00:00:00Z,2012,567,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,8.574,0,0,0,0,4.9,4.9,2012-11-01T00:00:00Z,1970-01-01T08:35:34Z,P1699-101
007-000001699,1123,7,Department of Defense,SHIPBOARD MANAGEMENT INFORMATION SYSTEM,2661,P1699-102,Entered in error,2011-01-11T00:00:00Z,2011,2011-01-11T00:00:00Z,2011,0,2012-09-28T00:00:00Z,2011-01-12T00:00:00Z,0,28,8.43,4,100,4,0,2012-02-23T00:00:00Z,1970-01-01T10:08:24Z,P1699-102
007-000000573,1124,7,Department of Defense,DEFENSE CIVILIAN PERSONNEL DATA SYSTEM,2628,P0573-101,Secure Hash Algorithm (SHA) 256 Infrastructure Upgrade,2011-11-15T00:00:00Z,2011,2013-05-31T00:00:00Z,2013,562,,,3.404,0,0,3.404,100,3.404,0,2011-10-26T00:00:00Z,1970-01-01T09:01:27Z,P0573-101
007-000000573,1124,7,Department of Defense,DEFENSE CIVILIAN PERSONNEL DATA SYSTEM,2629,P0573-102,DoD Demilitarized Zone Extension,2011-11-05T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,329,2012-10-09T00:00:00Z,2012-10-09T00:00:00Z,1.539,0,0,0,0,0.6,0.6,2011-10-26T00:00:00Z,1970-01-01T09:01:27Z,P0573-102
007-000001191,1126,7,Department of Defense,MEPCOM Integrated Resource System,2728,P1191-106,Technology refresh for FY12,2011-01-11T00:00:00Z,2011,2012-12-31T00:00:00Z,2012,720,,,22.5,-60,-14.08,3.462,15.59,22.204,18.742,2012-02-29T00:00:00Z,1970-01-01T09:10:31Z,P1191-106
007-000001191,1126,7,Department of Defense,MEPCOM Integrated Resource System,2729,P1191-107,Technology refresh for FY13,2012-09-30T00:00:00Z,2012,2013-07-31T00:00:00Z,2013,304,,,1.5,0,0,0,0,0.35,0.35,2012-02-29T00:00:00Z,1970-01-01T09:10:31Z,P1191-107
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2206,288661,Electronic Document Exchange,2010-10-20T00:00:00Z,2010,2012-08-21T00:00:00Z,2012,671,,,0.441,-10,-1.49,-0.0030,-0.68,0.441,0.444,2012-07-23T00:00:00Z,1970-01-01T09:40:58Z,288661
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2207,288908,Passport Denial Online Enhancements,2011-05-07T00:00:00Z,2011,2011-07-10T00:00:00Z,2011,64,2011-07-10T00:00:00Z,2011-07-10T00:00:00Z,0.043,0,0,0.0010,2.38,0.042,0.041,2012-04-26T00:00:00Z,1970-01-01T10:50:52Z,288908
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2208,288983,Debt Inquiry Enhancements,2011-10-10T00:00:00Z,2011,2012-01-20T00:00:00Z,2012,102,2012-01-20T00:00:00Z,2012-01-20T00:00:00Z,0.11,0,0,0.0020,1.82,0.11,0.108,2012-04-26T00:00:00Z,1970-01-01T10:50:52Z,288983
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2209,288984,E-Employer Search With NDNH,2012-04-04T00:00:00Z,2012,2012-10-25T00:00:00Z,2012,204,,,0.258,0,0,-0.0010,-0.39,0.258,0.259,2012-07-23T00:00:00Z,1970-01-01T09:40:58Z,288984
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2210,288989,IRG Interface for OCSE Web Redesign,2011-10-10T00:00:00Z,2011,2012-08-16T00:00:00Z,2012,311,,,0.314,-15,-4.82,-0.027,-8.63,0.313,0.34,2012-07-23T00:00:00Z,1970-01-01T09:40:58Z,288989
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2211,288990,NDNH Employer Address to Relational Database,2011-04-27T00:00:00Z,2011,2012-07-13T00:00:00Z,2012,443,2012-07-13T00:00:00Z,2012-07-13T00:00:00Z,0.332,-49,-11.06,0.028,8.43,0.332,0.304,2012-07-23T00:00:00Z,1970-01-01T09:40:58Z,288990
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2212,288993,DoD Entitlements Interface,2010-12-15T00:00:00Z,2010,2011-07-29T00:00:00Z,2011,225,2011-07-29T00:00:00Z,2011-12-07T00:00:00Z,0.315,17,7.52,-0.0010,-0.32,0.315,0.316,2012-04-26T00:00:00Z,1970-01-01T10:50:52Z,288993
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2213,289318,MICRS Release 12.01,2011-08-22T00:00:00Z,2011,2012-02-27T00:00:00Z,2012,189,2012-02-27T00:00:00Z,2012-02-03T00:00:00Z,0.301,-4,-2.12,-0.0010,-0.33,0.3,0.301,2012-05-22T00:00:00Z,1970-01-01T08:09:34Z,289318
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2214,289341,Move NDNH to Relational Database,2011-10-28T00:00:00Z,2011,2013-03-26T00:00:00Z,2013,515,,,0.499,0,0,-0.123,-24.65,0.499,0.622,2012-07-23T00:00:00Z,1970-01-01T09:40:58Z,289341
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2217,289354,FSF Portal PIV Card Implementation,2011-06-09T00:00:00Z,2011,2012-01-13T00:00:00Z,2012,218,2012-01-13T00:00:00Z,2012-01-13T00:00:00Z,0.178,0,0,0,0,0.177,0.177,2012-04-26T00:00:00Z,1970-01-01T10:50:52Z,289354
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2218,289363,Debt Inquiry Development,2010-12-13T00:00:00Z,2010,2011-07-18T00:00:00Z,2011,216,2011-07-18T00:00:00Z,2011-06-23T00:00:00Z,0.343,25,11.52,0.0010,0.29,0.343,0.342,2012-04-26T00:00:00Z,1970-01-01T10:50:52Z,289363
009-000001462,186,9,Department of Health and Human Services,ACF GrantSolutions.gov / Grants Administration Tracking Evaluation System (GATES) - Grants Center of Excellence,2021,289812,Mandatory Capabilities,2011-01-10T00:00:00Z,2011,2013-09-30T00:00:00Z,2013,993,,,2.538,0,0,0.025,1,2.505,2.48,2012-07-23T00:00:00Z,1970-01-01T09:40:58Z,289812
009-000001386,257,9,Department of Health and Human Services,CDC OID NCIRD Vaccine Tracking System (VTrckS),2012,284252,VTrckS - Release 2,2011-06-13T00:00:00Z,2011,2012-03-31T00:00:00Z,2012,292,2012-03-31T00:00:00Z,2012-03-31T00:00:00Z,6.05,0,0,0.136,2.25,6.05,5.914,2012-06-28T00:00:00Z,1970-01-01T07:58:56Z,284252
009-000001386,257,9,Department of Health and Human Services,CDC OID NCIRD Vaccine Tracking System (VTrckS),2013,285181,VTrckS - Functional Deployments,2012-01-03T00:00:00Z,2012,2013-06-30T00:00:00Z,2013,543,,,9.199,0,0,2.362,25.68,9.199,6.837,2012-07-23T00:00:00Z,1970-01-01T09:40:56Z,285181
009-000001384,260,9,Department of Health and Human Services,CDC National Select Agent Registry (NSAR),2010,283432,NSAR - Release 6.0,2011-01-04T00:00:00Z,2011,2012-08-17T00:00:00Z,2012,590,,,3.905,-14,-2.78,-0.616,-15.77,3.905,4.521,2012-07-23T00:00:00Z,1970-01-01T09:40:55Z,283432
009-000001384,260,9,Department of Health and Human Services,CDC National Select Agent Registry (NSAR),2011,284865,eNSAR,2013-01-02T00:00:00Z,2013,2013-04-11T00:00:00Z,2013,98,,,4.237,0,0,0,0,4.237,4.237,2012-04-26T00:00:00Z,1970-01-01T10:50:50Z,284865
009-000001372,261,9,Department of Health and Human Services,CDC PHIN: BioSense,2004,283123,BioSense - Redesign,2010-07-06T00:00:00Z,2010,2013-06-30T00:00:00Z,2013,1090,,,13.206,0,0,-0.473,-3.58,13.204,13.677,2012-07-23T00:00:00Z,1970-01-01T09:40:55Z,283123
009-000001378,262,9,Department of Health and Human Services,CDC PHIN: National Electronic Disease Surveillance System,2005,282142,NEDSS - Core National Notifiable Diseases Data Provisioning to CDC Programs,2010-12-21T00:00:00Z,2010,2013-09-11T00:00:00Z,2013,994,2013-09-11T00:00:00Z,2013-09-11T00:00:00Z,2.4,0,0,-0.355,-14.79,2.4,2.755,2012-07-26T00:00:00Z,1970-01-01T10:07:44Z,282142
009-000001378,262,9,Department of Health and Human Services,CDC PHIN: National Electronic Disease Surveillance System,2006,282483,NEDSS - Base System Development,2010-12-21T00:00:00Z,2010,2013-09-30T00:00:00Z,2013,1013,2012-09-20T00:00:00Z,2012-08-20T00:00:00Z,2.477,20,4.98,0.172,10.85,1.585,1.413,2012-07-26T00:00:00Z,1970-01-01T10:07:44Z,282483
009-000163785,263,9,Department of Health and Human Services,CMS 5010 Conversion Initiative,2046,297424,5010 Coversion Project Implement Systems Updates,2010-01-01T00:00:00Z,2010,2012-09-30T00:00:00Z,2012,1002,,,17.594,0,0,-0.148,-0.84,17.594,17.742,2012-07-23T00:00:00Z,1970-01-01T09:41:13Z,297424
009-000006796,273,9,Department of Health and Human Services,CMS Encounter Data,2045,285833,Encounter Data Development,2009-01-01T00:00:00Z,2009,2015-01-01T00:00:00Z,2015,2191,,,45.43,0,0,-0.678,-1.49,45.43,46.108,2012-07-23T00:00:00Z,1970-01-01T09:41:12Z,285833
009-000001465,274,9,Department of Health and Human Services,CMS Health Care Quality Improvement System (QIES),2022,286250,QIES CLIA Online Accounting,2011-07-27T00:00:00Z,2011,2011-12-31T00:00:00Z,2011,157,2011-12-31T00:00:00Z,2011-12-18T00:00:00Z,1,13,8.28,0.02,2,1,0.98,2012-04-26T00:00:00Z,1970-01-01T10:50:53Z,286250
009-000001465,274,9,Department of Health and Human Services,CMS Health Care Quality Improvement System (QIES),2023,286461,QIES ASSURE,2011-08-16T00:00:00Z,2011,2013-01-31T00:00:00Z,2013,534,,,0.65,0,0,-0.095,-14.62,0.65,0.745,2012-07-26T00:00:00Z,1970-01-01T10:08:04Z,286461
009-000001465,274,9,Department of Health and Human Services,CMS Health Care Quality Improvement System (QIES),2024,288991,QIES CLIA Batch Billing,2011-01-10T00:00:00Z,2011,2012-12-30T00:00:00Z,2012,720,,,2.5,0,0,0.886,35.44,2.5,1.614,2012-07-26T00:00:00Z,1970-01-01T10:08:04Z,288991
009-000001468,275,9,Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2025,283161,HIGLAS Administrative Program Accounting,2011-01-02T00:00:00Z,2011,2012-03-31T00:00:00Z,2012,453,2012-03-31T00:00:00Z,2012-05-31T00:00:00Z,16.983,-153,-36.08,-0.45,-2.65,16.983,17.433,2012-07-23T00:00:00Z,1970-01-01T09:40:59Z,283161
009-000001468,275,9,Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2026,283162,HIGLAS Project Management Support,2011-01-04T00:00:00Z,2011,2012-03-31T00:00:00Z,2012,451,2012-03-31T00:00:00Z,2012-03-31T00:00:00Z,6,0,0,0,0,6,6,2012-04-26T00:00:00Z,1970-01-01T10:50:54Z,283162
009-000001468,275,9,Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2027,283163,HIGLAS MAC Transitions,2011-06-25T00:00:00Z,2011,2012-06-22T00:00:00Z,2012,363,2012-06-22T00:00:00Z,2012-06-22T00:00:00Z,7.335,-70,-19.28,0.408,5.56,7.335,6.927,2012-07-23T00:00:00Z,1970-01-01T09:40:59Z,283163
009-000001468,275,9,Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2028,285838,HIGLAS Project Management Support 2,2012-01-04T00:00:00Z,2012,2013-02-28T00:00:00Z,2013,421,,,4,0,0,0,0,4,4,2012-07-23T00:00:00Z,1970-01-01T09:40:59Z,285838
009-000201062,276,9,Department of Health and Human Services,CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems,2181,285524,ESRD CrownWeb,2012-01-04T00:00:00Z,2012,2013-03-31T00:00:00Z,2013,452,,,8.76,0,0,-0.35,-4.01,8.73,9.08,2012-07-23T00:00:00Z,1970-01-01T09:41:13Z,285524
009-000201062,276,9,Department of Health and Human Services,CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems,2182,286118,ESRD QIP-DECC,2012-07-05T00:00:00Z,2012,2013-07-05T00:00:00Z,2013,365,,,20.164,0,0,-0.299,-1.48,20.164,20.463,2012-07-23T00:00:00Z,1970-01-01T09:41:13Z,286118
009-000004417,277,9,Department of Health and Human Services,CMS ICD-10 Initiative,2147,294801,ICD-10 Implement System Updates,2011-01-09T00:00:00Z,2011,2013-02-28T00:00:00Z,2013,781,,,42.053,0,0,12.992,30.89,42.053,29.061,2012-07-23T00:00:00Z,1970-01-01T09:41:04Z,294801
009-000001472,279,9,Department of Health and Human Services,CMS Integrated Data Repository (IDR),2128,295564,IDR Support Services,2011-02-11T00:00:00Z,2011,2013-09-30T00:00:00Z,2013,961,,,7.558,0,0,-3.945,-52.21,7.556,11.501,2012-07-23T00:00:00Z,1970-01-01T09:41:00Z,295564
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2029,291511,PECOS FY 2012 3rd Quarter Release,2012-01-17T00:00:00Z,2012,2012-07-30T00:00:00Z,2012,194,2012-07-30T00:00:00Z,2012-07-30T00:00:00Z,2.41,-32,-16.41,-0.064,-2.66,2.41,2.474,2012-07-23T00:00:00Z,1970-01-01T09:41:05Z,291511
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2030,291512,PECOS FY 2012 1st Quarter Release,2011-07-18T00:00:00Z,2011,2012-01-30T00:00:00Z,2012,196,2012-01-30T00:00:00Z,2012-02-13T00:00:00Z,2.641,-14,-7.14,0.341,12.91,2.641,2.3,2012-04-26T00:00:00Z,1970-01-01T10:50:57Z,291512
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2031,291516,PECOS FY 2012 2nd Quarter Release,2011-10-17T00:00:00Z,2011,2012-04-30T00:00:00Z,2012,196,2012-04-30T00:00:00Z,2012-04-30T00:00:00Z,2.678,0,0,0.251,9.37,2.678,2.427,2012-06-28T00:00:00Z,1970-01-01T07:59:09Z,291516
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2032,291568,PECOS FY 2012 4th Quarter Release,2012-04-16T00:00:00Z,2012,2012-10-29T00:00:00Z,2012,196,,,2.369,0,0,-1.311,-55.34,2.369,3.68,2012-07-23T00:00:00Z,1970-01-01T09:41:05Z,291568
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2033,294946,PECOS FY 2011 4th Quarter Release,2011-04-18T00:00:00Z,2011,2011-07-10T00:00:00Z,2011,83,2011-07-10T00:00:00Z,2011-03-10T00:00:00Z,2.412,4,2.33,0.024,1,2.412,2.388,2012-04-26T00:00:00Z,1970-01-01T10:50:57Z,294946
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2034,294947,PECOS FY 2013 1st Quarter Release,2012-06-08T00:00:00Z,2012,2013-07-01T00:00:00Z,2013,388,,,2.891,0,0,0,0,2.891,2.891,2012-04-26T00:00:00Z,1970-01-01T10:50:57Z,294947
009-000000714,284,9,Department of Health and Human Services,CMS Medicaid Data Systems,1997,295146,MSIS Redesign,2010-03-16T00:00:00Z,2010,2014-12-31T00:00:00Z,2014,1751,,,12.144,0,0,-2.722,-22.41,12.144,14.866,2012-04-26T00:00:00Z,1970-01-01T10:50:48Z,295146
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2131,294949,MAS 508 Conformance Phase 1,2010-01-09T00:00:00Z,2010,2011-08-31T00:00:00Z,2011,598,2011-08-31T00:00:00Z,2011-08-31T00:00:00Z,0.491,0,0,0,0,0.491,0.491,2012-05-22T00:00:00Z,1970-01-01T08:10:10Z,294949
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2132,295181,MAS Level 3 Task Based User Interface Phase 1,2010-09-27T00:00:00Z,2010,2012-01-31T00:00:00Z,2012,491,2012-01-31T00:00:00Z,2011-09-30T00:00:00Z,0.194,123,25.1,0.0020,1.04,0.193,0.191,2012-04-26T00:00:00Z,1970-01-01T10:51:12Z,295181
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2133,295185,MAS 508 Conformance Phase 2,2011-06-15T00:00:00Z,2011,2012-06-14T00:00:00Z,2012,365,,,0.662,-78,-23.01,0.096,14.5,0.662,0.566,2012-05-22T00:00:00Z,1970-01-01T08:10:10Z,295185
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2134,295186,MAS Level 3 Task Based User Interface Phase 2,2011-09-28T00:00:00Z,2011,2012-09-27T00:00:00Z,2012,365,,,1.365,0,0,-0.204,-18.65,1.094,1.298,2012-07-23T00:00:00Z,1970-01-01T09:41:01Z,295186
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2135,295187,MAS eCase File Enhancements Phase 1,2010-09-27T00:00:00Z,2010,2012-01-31T00:00:00Z,2012,491,2012-01-31T00:00:00Z,2012-02-21T00:00:00Z,0.506,-21,-4.28,0.0080,1.58,0.506,0.498,2012-06-28T00:00:00Z,1970-01-01T07:59:03Z,295187
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2136,295188,MAS eCase File Enhancements Phase 2,2011-08-20T00:00:00Z,2011,2012-08-19T00:00:00Z,2012,365,2012-08-19T00:00:00Z,2012-08-19T00:00:00Z,0.488,-12,-3.29,-0.075,-17.44,0.43,0.505,2012-07-23T00:00:00Z,1970-01-01T09:41:01Z,295188
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2137,295189,MAS Correspondence Letter Writing System,2011-09-30T00:00:00Z,2011,2012-09-29T00:00:00Z,2012,365,2012-06-30T00:00:00Z,2012-06-30T00:00:00Z,1.163,-62,-22.63,0.339,29.15,1.163,0.824,2012-07-23T00:00:00Z,1970-01-01T09:41:01Z,295189
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2138,295190,MAS Level 1 Implementation Phase 1,2011-09-30T00:00:00Z,2011,2012-09-29T00:00:00Z,2012,365,,,0.42,-92,-37.7,0.0040,0.95,0.419,0.415,2012-07-23T00:00:00Z,1970-01-01T09:41:01Z,295190
009-000005234,287,9,Department of Health and Human Services,CMS Medicare Integrity Program Modernization-One PI System,2035,288800,SGS Development 2012,2011-09-29T00:00:00Z,2011,2012-03-31T00:00:00Z,2012,184,,,2.02,-153,-83.15,-1.01,-50,2.02,3.03,2012-06-28T00:00:00Z,1970-01-01T07:59:10Z,288800
009-000005234,287,9,Department of Health and Human Services,CMS Medicare Integrity Program Modernization-One PI System,2036,289416,SGS Development 2011,2011-03-01T00:00:00Z,2011,2012-03-31T00:00:00Z,2012,395,2011-11-21T00:00:00Z,2012-09-01T00:00:00Z,0.6,-49,-15.22,-0.0090,-1.5,0.6,0.609,2012-04-26T00:00:00Z,1970-01-01T10:50:58Z,289416
009-000005234,287,9,Department of Health and Human Services,CMS Medicare Integrity Program Modernization-One PI System,2037,299930,2013 DME Activity,2012-01-10T00:00:00Z,2012,2013-12-31T00:00:00Z,2013,721,,,2.063,0,0,0,0,2.063,2.063,2012-04-26T00:00:00Z,1970-01-01T10:50:58Z,299930
009-000005345,298,9,Department of Health and Human Services,FDA CDER Automated Drug Information Management System,2175,283741,"Document Archiving, Reporting & Regulatory Tracking System",2004-01-12T00:00:00Z,2004,2019-09-30T00:00:00Z,2019,5739,,,150.314,0,0,-3.32,-5.62,59.06,62.38,2012-07-23T00:00:00Z,1970-01-01T09:41:08Z,283741
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2168,287489,FDA ORA ALM Laboratory Information Management System (LIMS) Proof of Concept,2009-01-10T00:00:00Z,2009,2011-09-30T00:00:00Z,2011,992,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,0.334,0,0,0.0080,2.4,0.334,0.326,2012-02-24T00:00:00Z,1970-01-01T09:16:57Z,287489
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2169,287491,FDA ORA ALM Laboratory Information Management System (LIMS) Program Management Technical Coordination (PMTC),2011-12-09T00:00:00Z,2011,2012-11-09T00:00:00Z,2012,336,,,0.55,0,0,-0.126,-22.91,0.55,0.676,2012-02-24T00:00:00Z,1970-01-01T09:16:57Z,287491
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2170,287492,FDA ORA ALM Laboratory Information Management System (LIMS) Laboratory Assessment and Pilots,2011-12-09T00:00:00Z,2011,2012-11-09T00:00:00Z,2012,336,,,6.728,0,0,-0.302,-4.49,6.728,7.03,2012-02-24T00:00:00Z,1970-01-01T09:16:58Z,287492
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2171,287496,FDA ORA ALM Electronic Laboratory Exchange Network (eLEXNET) Support 1,2010-07-22T00:00:00Z,2010,2012-11-01T00:00:00Z,2012,833,2012-11-01T00:00:00Z,2011-12-31T00:00:00Z,1.644,11,2.04,0.126,7.66,1.644,1.518,2012-02-24T00:00:00Z,1970-01-01T09:16:58Z,287496
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2172,287506,FDA ORA ALM Electronic Laboratory Exchange Network (eLEXNET) Support 2,2011-07-22T00:00:00Z,2011,2012-07-21T00:00:00Z,2012,365,,,2.876,-41,-11.23,-0.818,-28.44,2.876,3.694,2012-02-24T00:00:00Z,1970-01-01T09:16:58Z,287506
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2173,287509,FDA ORA ALM Quality Management Information System (QMiS) Support 1,2009-01-07T00:00:00Z,2009,2011-08-26T00:00:00Z,2011,960,2011-08-26T00:00:00Z,2011-08-26T00:00:00Z,0.786,-371,-108.16,0.038,4.83,0.786,0.748,2012-02-24T00:00:00Z,1970-01-01T09:16:58Z,287509
